NYISO Hourly Temperatures (Fahrenheit) in Major Cities
Hourly temperature data for major cities
Source: EIA collected from NOAA
Buffalo / Cheektow Temperature (Fahrenheit),Buffalo / Cheektow Temperature Observation Time (Eastern),New York City / JFK Airport Temperature (Fahrenheit),New York City / JFK Airport Temperature Observation Time (Eastern),UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number
33.1,2021-01-01 00:54:00,33.1,2021-01-01 00:51:00,2021-01-01 06:00:00,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01,1
32.0,2021-01-01 01:54:00,33.1,2021-01-01 01:51:00,2021-01-01 07:00:00,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01,2
32.0,2021-01-01 02:54:00,32.0,2021-01-01 02:51:00,2021-01-01 08:00:00,2021-01-01 02:00:00,2021-01-01 03:00:00,2021-01-01,3
32.0,2021-01-01 03:54:00,33.1,2021-01-01 03:51:00,2021-01-01 09:00:00,2021-01-01 03:00:00,2021-01-01 04:00:00,2021-01-01,4
30.0,2021-01-01 04:54:00,32.0,2021-01-01 04:51:00,2021-01-01 10:00:00,2021-01-01 04:00:00,2021-01-01 05:00:00,2021-01-01,5
30.0,2021-01-01 05:54:00,30.9,2021-01-01 05:51:00,2021-01-01 11:00:00,2021-01-01 05:00:00,2021-01-01 06:00:00,2021-01-01,6
28.9,2021-01-01 06:54:00,30.0,2021-01-01 06:51:00,2021-01-01 12:00:00,2021-01-01 06:00:00,2021-01-01 07:00:00,2021-01-01,7
28.0,2021-01-01 07:54:00,30.0,2021-01-01 07:51:00,2021-01-01 13:00:00,2021-01-01 07:00:00,2021-01-01 08:00:00,2021-01-01,8
28.9,2021-01-01 08:54:00,35.1,2021-01-01 08:51:00,2021-01-01 14:00:00,2021-01-01 08:00:00,2021-01-01 09:00:00,2021-01-01,9
30.9,2021-01-01 09:54:00,37.0,2021-01-01 09:51:00,2021-01-01 15:00:00,2021-01-01 09:00:00,2021-01-01 10:00:00,2021-01-01,10
32.0,2021-01-01 10:54:00,37.9,2021-01-01 10:51:00,2021-01-01 16:00:00,2021-01-01 10:00:00,2021-01-01 11:00:00,2021-01-01,11
33.1,2021-01-01 11:54:00,37.9,2021-01-01 11:51:00,2021-01-01 17:00:00,2021-01-01 11:00:00,2021-01-01 12:00:00,2021-01-01,12
34.0,2021-01-01 12:54:00,39.0,2021-01-01 12:51:00,2021-01-01 18:00:00,2021-01-01 12:00:00,2021-01-01 13:00:00,2021-01-01,13
34.0,2021-01-01 13:54:00,39.0,2021-01-01 13:51:00,2021-01-01 19:00:00,2021-01-01 13:00:00,2021-01-01 14:00:00,2021-01-01,14
34.0,2021-01-01 14:54:00,39.9,2021-01-01 14:51:00,2021-01-01 20:00:00,2021-01-01 14:00:00,2021-01-01 15:00:00,2021-01-01,15
34.0,2021-01-01 15:54:00,39.9,2021-01-01 15:51:00,2021-01-01 21:00:00,2021-01-01 15:00:00,2021-01-01 16:00:00,2021-01-01,16
33.1,2021-01-01 16:54:00,39.0,2021-01-01 16:51:00,2021-01-01 22:00:00,2021-01-01 16:00:00,2021-01-01 17:00:00,2021-01-01,17
32.0,2021-01-01 17:54:00,37.9,2021-01-01 17:51:00,2021-01-01 23:00:00,2021-01-01 17:00:00,2021-01-01 18:00:00,2021-01-01,18
33.1,2021-01-01 18:54:00,37.9,2021-01-01 18:51:00,2021-01-02 00:00:00,2021-01-01 18:00:00,2021-01-01 19:00:00,2021-01-01,19
33.1,2021-01-01 19:54:00,37.9,2021-01-01 19:51:00,2021-01-02 01:00:00,2021-01-01 19:00:00,2021-01-01 20:00:00,2021-01-01,20
33.1,2021-01-01 20:54:00,37.9,2021-01-01 20:51:00,2021-01-02 02:00:00,2021-01-01 20:00:00,2021-01-01 21:00:00,2021-01-01,21
34.0,2021-01-01 21:54:00,37.9,2021-01-01 21:51:00,2021-01-02 03:00:00,2021-01-01 21:00:00,2021-01-01 22:00:00,2021-01-01,22
34.0,2021-01-01 22:54:00,37.9,2021-01-01 22:51:00,2021-01-02 04:00:00,2021-01-01 22:00:00,2021-01-01 23:00:00,2021-01-01,23
34.0,2021-01-01 23:54:00,39.0,2021-01-01 23:51:00,2021-01-02 05:00:00,2021-01-01 23:00:00,2021-01-02 00:00:00,2021-01-01,24
34.0,2021-01-02 00:54:00,39.0,2021-01-02 00:51:00,2021-01-02 06:00:00,2021-01-02 00:00:00,2021-01-02 01:00:00,2021-01-02,1
34.0,2021-01-02 01:54:00,37.9,2021-01-02 01:51:00,2021-01-02 07:00:00,2021-01-02 01:00:00,2021-01-02 02:00:00,2021-01-02,2
34.0,2021-01-02 02:54:00,39.0,2021-01-02 02:51:00,2021-01-02 08:00:00,2021-01-02 02:00:00,2021-01-02 03:00:00,2021-01-02,3
34.0,2021-01-02 03:54:00,39.0,2021-01-02 03:51:00,2021-01-02 09:00:00,2021-01-02 03:00:00,2021-01-02 04:00:00,2021-01-02,4
35.1,2021-01-02 04:54:00,39.9,2021-01-02 04:51:00,2021-01-02 10:00:00,2021-01-02 04:00:00,2021-01-02 05:00:00,2021-01-02,5
34.0,2021-01-02 05:54:00,41.0,2021-01-02 05:51:00,2021-01-02 11:00:00,2021-01-02 05:00:00,2021-01-02 06:00:00,2021-01-02,6
34.0,2021-01-02 06:54:00,41.0,2021-01-02 06:51:00,2021-01-02 12:00:00,2021-01-02 06:00:00,2021-01-02 07:00:00,2021-01-02,7
